***************************************** BIN PACKING SOLUTION *****************************************
Parameters: alpha_1=0.6 alpha_2=0.4 t=0.2 s=1
-------------------------------------------------------------------------------------------------------------------------------------------------
INSTANCE 	 # OF BINS 	 SCHEDULING OBJECTIVE 	 BEST OBJECTIVE 	 RUNNING TIME
BPP_100_125_0.1_0.8_1.C	51	11.000	35.000	0.002
BPP_100_125_0.1_0.8_2.C	52	1.400	31.760	0.010
BPP_100_125_0.1_0.8_3.C	49	0.600	29.640	0.022
BPP_100_125_0.1_0.8_4.C	53	4.200	33.480	0.005
BPP_100_125_0.1_0.8_5.C	49	4.400	31.160	0.002
BPP_100_125_0.1_0.8_6.C	55	3.600	34.440	0.006
BPP_100_125_0.1_0.8_7.C	56	6.600	36.240	0.009
BPP_100_125_0.1_0.8_8.C	47	3.200	29.480	0.009
BPP_100_125_0.1_0.8_9.C	50	2.400	30.960	0.006
BPP_100_150_0.1_0.8_0.C	60	3.400	37.360	0.007
BPP_100_150_0.1_0.8_1.C	52	4.200	32.880	0.006
BPP_100_150_0.1_0.8_2.C	47	5.400	30.360	0.009
BPP_100_150_0.1_0.8_3.C	47	2.800	29.320	0.008
BPP_100_150_0.1_0.8_4.C	55	2.600	34.040	0.017
BPP_100_150_0.1_0.8_5.C	51	3.000	31.800	0.012
BPP_100_150_0.1_0.8_6.C	50	1.400	30.560	0.015
BPP_100_150_0.1_0.8_7.C	51	1.200	31.080	0.017
BPP_100_150_0.1_0.8_8.C	53	1.800	32.520	0.010
BPP_100_150_0.1_0.8_9.C	50	3.200	31.280	0.005
BPP_100_200_0.1_0.8_0.C	51	4.800	32.520	0.012
BPP_100_200_0.1_0.8_1.C	54	6.600	35.040	0.004
BPP_100_200_0.1_0.8_2.C	51	2.800	31.720	0.009
BPP_100_200_0.1_0.8_3.C	50	2.800	31.120	0.019
BPP_100_200_0.1_0.8_4.C	53	3.800	33.320	0.004
BPP_100_200_0.1_0.8_5.C	56	6.400	36.160	0.009
BPP_100_200_0.1_0.8_6.C	56	4.600	35.440	0.012
BPP_100_200_0.1_0.8_7.C	50	5.200	32.080	0.002
BPP_100_200_0.1_0.8_8.C	56	3.600	35.040	0.009
BPP_100_200_0.1_0.8_9.C	61	4.400	38.360	0.004
BPP_100_300_0.1_0.8_0.C	50	3.200	31.280	0.021
BPP_100_300_0.1_0.8_1.C	48	4.800	30.720	0.002
BPP_100_300_0.1_0.8_2.C	52	7.800	34.320	0.003
BPP_100_300_0.1_0.8_3.C	52	7.600	34.240	0.015
BPP_100_300_0.1_0.8_4.C	48	4.000	30.400	0.015
BPP_100_300_0.1_0.8_5.C	55	3.200	34.280	0.005
BPP_100_300_0.1_0.8_6.C	47	1.800	28.920	0.018
BPP_100_300_0.1_0.8_7.C	54	5.400	34.560	0.004
BPP_100_300_0.1_0.8_8.C	51	1.600	31.240	0.008
BPP_100_300_0.1_0.8_9.C	52	0.600	31.440	0.021
BPP_100_400_0.1_0.8_0.C	49	3.200	30.680	0.014
BPP_100_400_0.1_0.8_1.C	49	3.200	30.680	0.011
BPP_100_400_0.1_0.8_2.C	52	2.800	32.320	0.005
BPP_100_400_0.1_0.8_3.C	52	2.600	32.240	0.019
BPP_100_400_0.1_0.8_4.C	52	2.600	32.240	0.016
BPP_100_400_0.1_0.8_5.C	50	1.600	30.640	0.017
BPP_100_400_0.1_0.8_6.C	53	1.200	32.280	0.015
BPP_100_400_0.1_0.8_7.C	51	2.000	31.400	0.006
BPP_100_400_0.1_0.8_8.C	53	5.800	34.120	0.007
BPP_100_400_0.1_0.8_9.C	53	3.400	33.160	0.011
BPP_100_500_0.1_0.8_0.C	47	5.400	30.360	0.009
BPP_100_500_0.1_0.8_1.C	53	3.400	33.160	0.006
BPP_100_500_0.1_0.8_2.C	51	2.200	31.480	0.009
BPP_100_500_0.1_0.8_3.C	52	12.600	36.240	0.018
BPP_100_500_0.1_0.8_4.C	52	7.800	34.320	0.011
BPP_100_500_0.1_0.8_5.C	57	2.000	35.000	0.009
BPP_100_500_0.1_0.8_6.C	55	3.800	34.520	0.003
BPP_100_500_0.1_0.8_7.C	54	3.400	33.760	0.009
BPP_100_500_0.1_0.8_8.C	52	4.400	32.960	0.002
BPP_100_500_0.1_0.8_9.C	50	4.000	31.600	0.007
BPP_100_50_0.1_0.8_0.C	48	2.000	29.600	0.010
BPP_100_50_0.1_0.8_1.C	47	6.200	30.680	0.005
BPP_100_50_0.1_0.8_2.C	54	5.000	34.400	0.013
BPP_100_50_0.1_0.8_3.C	51	5.400	32.760	0.008
BPP_100_50_0.1_0.8_4.C	46	2.200	28.480	0.022
BPP_100_50_0.1_0.8_5.C	46	2.000	28.400	0.007
BPP_100_50_0.1_0.8_6.C	48	1.600	29.440	0.007
BPP_100_50_0.1_0.8_7.C	50	1.400	30.560	0.023
BPP_100_50_0.1_0.8_8.C	51	4.400	32.360	0.018
BPP_100_50_0.1_0.8_9.C	50	4.600	31.840	0.009
BPP_100_750_0.1_0.8_0.C	50	2.000	30.800	0.015
BPP_100_750_0.1_0.8_1.C	49	2.000	30.200	0.014
BPP_100_750_0.1_0.8_2.C	49	2.000	30.200	0.011
BPP_100_750_0.1_0.8_3.C	53	3.000	33.000	0.005
BPP_100_750_0.1_0.8_4.C	57	3.800	35.720	0.007
BPP_100_750_0.1_0.8_5.C	53	0.400	31.960	0.011
BPP_100_750_0.1_0.8_6.C	50	0.200	30.080	0.006
BPP_100_750_0.1_0.8_7.C	54	-0.000	32.400	0.010
BPP_100_750_0.1_0.8_8.C	50	0.800	30.320	0.002
BPP_100_750_0.1_0.8_9.C	48	1.000	29.200	0.011
BPP_100_75_0.1_0.8_0.C	54	-0.000	32.400	0.015
BPP_100_75_0.1_0.8_1.C	50	4.200	31.680	0.019
BPP_100_75_0.1_0.8_2.C	51	7.800	33.720	0.004
BPP_100_75_0.1_0.8_3.C	55	2.600	34.040	0.013
BPP_100_75_0.1_0.8_4.C	50	0.400	30.160	0.006
BPP_100_75_0.1_0.8_5.C	53	1.200	32.280	0.002
BPP_100_75_0.1_0.8_6.C	49	0.800	29.720	0.011
BPP_100_75_0.1_0.8_7.C	53	0.200	31.880	0.018
BPP_100_75_0.1_0.8_8.C	53	0.200	31.880	0.011
BPP_100_75_0.1_0.8_9.C	55	0.800	33.320	0.005
BPP_200_1000_0.1_0.8_0.C	105	1.600	63.640	0.031
BPP_200_1000_0.1_0.8_1.C	105	3.200	64.280	0.074
BPP_200_1000_0.1_0.8_2.C	106	2.400	64.560	0.061
BPP_200_1000_0.1_0.8_3.C	100	5.000	62.000	0.118
BPP_200_1000_0.1_0.8_4.C	102	5.600	63.440	0.030
BPP_200_1000_0.1_0.8_5.C	104	0.600	62.640	0.016
BPP_200_1000_0.1_0.8_6.C	98	1.000	59.200	0.139
BPP_200_1000_0.1_0.8_7.C	109	1.000	65.800	0.040
BPP_200_1000_0.1_0.8_8.C	100	2.400	60.960	0.042
BPP_200_1000_0.1_0.8_9.C	98	1.800	59.520	0.080
BPP_200_100_0.1_0.8_0.C	102	0.200	61.280	0.256
BPP_200_100_0.1_0.8_1.C	105	6.200	65.480	0.017
BPP_200_100_0.1_0.8_2.C	96	3.400	58.960	0.020
BPP_200_100_0.1_0.8_3.C	99	2.000	60.200	0.305
BPP_200_100_0.1_0.8_4.C	104	4.600	64.240	0.099
BPP_200_100_0.1_0.8_5.C	98	2.000	59.600	0.089
BPP_200_100_0.1_0.8_6.C	97	1.000	58.600	0.091
BPP_200_100_0.1_0.8_7.C	98	5.800	61.120	0.067
BPP_200_100_0.1_0.8_8.C	104	10.000	66.400	0.038
BPP_200_100_0.1_0.8_9.C	104	3.200	63.680	0.072
BPP_200_120_0.1_0.8_0.C	100	7.400	62.960	0.063
BPP_200_120_0.1_0.8_1.C	92	0.600	55.440	0.150
BPP_200_120_0.1_0.8_2.C	113	0.200	67.880	0.129
